2.901e+02,3.116e+02,1.670e+02,2.538e+02,1.098e+02,2.048e+02,7.382e+01,1.820e+02,5.875e+01,1.394e+02,6.988e+01
1.252e+02,1.434e+02,8.697e+01,1.434e+02,6.639e+01,1.094e+02,4.893e+01,1.098e+02,4.179e+01,1.087e+02,4.710e+01
1.222e+02,1.040e+02,5.545e+01,1.041e+02,5.299e+01,9.225e+01,4.147e+01,1.027e+02,3.921e+01,1.001e+02,5.606e+01
1.166e+02,1.019e+02,5.338e+01,9.805e+01,5.082e+01,9.594e+01,4.177e+01,9.873e+01,3.590e+01,9.207e+01,4.443e+01
1.053e+02,1.015e+02,5.732e+01,1.009e+02,4.918e+01,8.647e+01,3.995e+01,9.905e+01,3.896e+01,9.646e+01,4.498e+01
1.013e+02,9.557e+01,5.160e+01,9.972e+01,4.626e+01,8.751e+01,3.927e+01,9.048e+01,3.590e+01,9.322e+01,4.407e+01
9.580e+01,9.467e+01,5.498e+01,1.003e+02,4.592e+01,8.790e+01,4.091e+01,8.922e+01,3.499e+01,9.032e+01,4.280e+01
9.271e+01,8.676e+01,4.996e+01,9.010e+01,4.405e+01,8.421e+01,3.622e+01,8.447e+01,3.280e+01,8.736e+01,4.137e+01
8.723e+01,8.655e+01,5.045e+01,8.684e+01,4.205e+01,7.692e+01,3.387e+01,8.152e+01,3.399e+01,8.186e+01,3.942e+01
8.319e+01,7.929e+01,4.762e+01,7.960e+01,4.190e+01,7.427e+01,3.212e+01,8.121e+01,2.987e+01,8.131e+01,4.003e+01
7.831e+01,7.508e+01,4.630e+01,7.519e+01,4.252e+01,7.270e+01,3.135e+01,7.723e+01,3.731e+01,7.710e+01,4.182e+01
7.479e+01,8.418e+01,4.447e+01,7.450e+01,4.094e+01,7.599e+01,3.438e+01,7.417e+01,2.837e+01,7.515e+01,3.748e+01
7.037e+01,6.884e+01,4.403e+01,6.945e+01,3.946e+01,6.992e+01,3.224e+01,7.476e+01,2.797e+01,7.379e+01,3.554e+01
6.661e+01,6.307e+01,4.099e+01,6.259e+01,3.612e+01,6.132e+01,3.037e+01,6.925e+01,2.701e+01,6.387e+01,3.178e+01
6.289e+01,6.208e+01,4.079e+01,5.766e+01,3.379e+01,6.030e+01,3.047e+01,7.305e+01,2.502e+01,6.384e+01,2.973e+01
5.919e+01,5.962e+01,3.942e+01,5.612e+01,3.376e+01,5.219e+01,2.800e+01,6.267e+01,2.493e+01,5.537e+01,2.817e+01
5.846e+01,5.612e+01,3.806e+01,5.275e+01,3.219e+01,4.949e+01,2.748e+01,6.193e+01,2.451e+01,5.357e+01,2.742e+01
5.334e+01,5.525e+01,3.781e+01,5.206e+01,3.106e+01,5.021e+01,2.647e+01,6.248e+01,2.601e+01,5.538e+01,2.842e+01
5.137e+01,5.037e+01,3.455e+01,4.987e+01,3.161e+01,4.656e+01,2.466e+01,5.754e+01,2.368e+01,5.151e+01,2.692e+01
4.905e+01,5.172e+01,3.185e+01,4.811e+01,3.119e+01,4.552e+01,2.591e+01,5.408e+01,2.286e+01,4.927e+01,3.014e+01
4.867e+01,4.850e+01,3.240e+01,4.342e+01,3.064e+01,5.006e+01,2.565e+01,6.274e+01,2.266e+01,4.947e+01,2.688e+01
4.791e+01,5.222e+01,3.440e+01,5.342e+01,3.210e+01,4.615e+01,2.586e+01,5.177e+01,2.231e+01,5.048e+01,2.697e+01
4.580e+01,5.131e+01,3.596e+01,4.727e+01,2.953e+01,5.213e+01,2.864e+01,6.168e+01,2.523e+01,4.723e+01,2.615e+01
4.600e+01,4.765e+01,3.079e+01,4.609e+01,3.018e+01,4.255e+01,2.360e+01,5.181e+01,2.187e+01,4.522e+01,2.628e+01
4.366e+01,4.596e+01,3.147e+01,4.311e+01,2.792e+01,4.485e+01,2.429e+01,5.494e+01,2.068e+01,4.592e+01,2.822e+01
4.493e+01,4.326e+01,2.923e+01,4.365e+01,2.831e+01,4.108e+01,2.300e+01,4.809e+01,2.206e+01,4.233e+01,2.461e+01
4.393e+01,4.561e+01,2.956e+01,3.936e+01,2.641e+01,4.390e+01,2.331e+01,5.191e+01,2.100e+01,4.320e+01,2.386e+01
4.193e+01,4.163e+01,2.953e+01,3.871e+01,2.875e+01,3.994e+01,2.315e+01,4.813e+01,2.181e+01,4.263e+01,2.365e+01
4.134e+01,4.406e+01,2.961e+01,3.916e+01,2.682e+01,3.860e+01,2.250e+01,4.878e+01,2.072e+01,4.141e+01,2.335e+01
3.976e+01,4.118e+01,3.017e+01,4.257e+01,2.646e+01,3.709e+01,2.565e+01,5.130e+01,2.496e+01,4.519e+01,2.361e+01
4.086e+01,4.146e+01,2.777e+01,3.879e+01,2.570e+01,3.927e+01,2.212e+01,4.775e+01,2.057e+01,4.147e+01,2.224e+01
