,1st_MAE,1st_MAPE,1st_sMAPE,mean_MAE,mean_MAPE,mean_sMAPE,median_MAE,median_MAPE,median_sMAPE,
0,21.17774773,5551619.5,1.999999285,24.72783089,1546469.125,0.839807928,21.17774773,0.404077679,0.457288831,
1,33.58392715,8803825,1.999999523,29.93172836,2443015,0.850100219,25.59045219,0.435189188,0.461988896,
2,26.32748795,6901593,1.999999404,27.8434391,1917720.5,0.852013767,24.71814346,0.419000089,0.478463888,
3,21.55470276,5650436,1.999999285,26.76361847,1572213.875,0.85941869,21.55470276,0.429743886,0.503910959,
4,17.52594757,4594322,1.999999166,26.12458992,1280473.75,0.871902883,17.52594757,0.44514212,0.525358319,
5,16.68108749,4372847,1.999999046,26.23503876,1219105.5,0.878237128,16.68108749,0.450660557,0.536768496,
6,13.74526215,3603238,1.999998927,25.97475433,1006456.313,0.893148363,13.74526215,0.464969963,0.568040729,
7,10.43010712,2734190,1.999998569,25.67164612,766411.5625,0.911537409,10.88219452,0.487247884,0.622012556,
8,8.636585236,2264029,1.999998212,25.45736694,636584.9375,0.920878708,10.94742393,0.496699214,0.641031682,
9,7.384471893,1935795,1.999997973,25.14816093,546049.5,0.924152195,10.73493576,0.501310766,0.643826485,
10,2.494029999,653795,1.99999392,24.56214333,192193.6406,0.951461434,12.50597,0.528255284,0.700812757,
11,11.03438568,2892598,1.999998569,25.46582603,810184.9375,0.90090394,11.03438568,0.472614527,0.595881939,
12,2.565681458,672578,1.99999404,24.4342804,197359.3594,0.947038174,12.41021156,0.525446355,0.694579959,
13,7.287559509,1910390,1.999997854,24.72087669,539151,0.91445893,10.48297882,0.492269158,0.629529059,
14,2.574817657,674973,1.99999404,24.05830956,198200.1563,0.938505828,11.70093536,0.517962337,0.680697799,
15,5.943984985,1558180,1.999997377,24.0524044,442238.7813,0.911360264,10.34887695,0.486804783,0.627611876,
16,1.448329926,379671,1.99998951,23.26225853,117130.2031,0.930402637,11.50147629,0.510168552,0.661881626,
17,2.967987061,778040,1.999994874,22.82009125,227517.7813,0.909188986,10.62272644,0.489382863,0.621495068,
18,2.612277985,684793,1.999994159,22.09690285,202303.7969,0.896900535,9.845193863,0.476377636,0.597107887,
19,5.29284668,1387488,1.999997139,21.9476223,396707.3125,0.874315739,8.955314636,0.461207807,0.540993035,
20,0.541706085,142005,2,20.86272049,49107.11719,0.915789366,9.706022263,0.489115775,0.587176502,
21,2.46831131,647053,1.999993801,20.47084618,193546.1875,0.863398194,8.61945343,0.46236828,0.519455433,
22,2.038570404,534399,2,20.57696724,153834.2031,0.908321142,8.866821289,0.497000188,0.561053336,
23,5.626522064,1474959,2,21.81028366,407822.875,0.930357814,9.70942688,0.516920745,0.590336561,
24,14.53297043,3809731,2,25.41243172,1046760.688,0.986329377,14.53297043,0.576062262,0.684294164,
25,6.929592133,1816551,2,22.25550461,501622.9375,0.923944235,9.658081055,0.521282256,0.57689172,
26,11.76558304,3084277,2,24.26787567,848193.25,0.955685735,11.76558304,0.558574021,0.623595536,
27,3.516418457,921808,2,21.43632698,259608.1406,0.90442431,9.478439331,0.52183181,0.554641128,
28,4.960456848,1300354,2,21.99430084,361484.75,0.915777802,9.527427673,0.525676191,0.568814814,
29,3.109237671,815068,1.999995112,21.43695259,242269.8281,0.856738627,9.588897705,0.50998795,0.513990939,
30,1.790763855,469438,1.999991536,21.02454948,146340.7188,0.85763526,9.223304749,0.510567784,0.521940529,
31,3.793148041,994351,1.999995947,21.67620468,291003.9063,0.857485175,9.381549835,0.509659111,0.514133513,
32,4.928768158,1292047,1.999996901,22.12139702,373030.3438,0.858111084,9.388093948,0.509954274,0.511421621,
33,5.192504883,1361184,1.99999702,22.34795761,392072.1875,0.859415889,9.488967896,0.51186347,0.516328812,
34,5.537384033,1451592,1.999997258,22.66493034,417056.625,0.861266971,9.585823059,0.518782556,0.520323157,
35,1.032398224,270637,2,21.5627327,84659.11719,0.900765002,9.37701416,0.528318286,0.555580139,used
36,3.380653381,886218,1.99999547,22.42050171,260339.7813,0.866481483,9.686088562,0.522025943,0.523111939,
37,6.780910492,1777575,1.999997735,23.68386269,506433.1563,0.867137969,10.1162529,0.539172351,0.521019638,
38,10.84806442,2843755,2,25.98591614,783812.6875,0.957824528,12.17752075,0.623416364,0.627109528,
39,20.32096481,5327019,2,29.6126709,1465398.375,1.006761789,20.32096481,0.665903807,0.678514123,
40,33.66530991,8825159,2,35.33267212,2427685.25,1.076712966,33.66530991,0.743836582,0.813394487,
41,44.89958572,11770157,2,40.70836258,3239194.5,1.131890297,44.40190506,0.84977597,0.943518877,
42,54.30650711,14236125,2,45.29761505,3918680.5,1.180290341,50.77183533,0.941299856,1.170872092,
43,63.08302689,16536837,2,49.74188232,4552712,1.228459001,55.50846481,1.018075347,1.415326238,
44,70.59288025,18505500,2,53.5255928,5095159,1.257547617,60.02854919,1.074903369,1.622402668,
45,75.31506348,19743392,2,55.90118027,5436308,1.275271416,61.9316864,1.118339419,1.824046493,
46,78.49472046,20576920,2,57.37688065,5665920.5,1.274249077,63.31394196,1.129981637,1.820520401,
47,78.73017883,20638644,2,57.52199554,5682969.5,1.260652065,63.06471252,1.140416265,1.658553123,
48,82.49432373,21625392,2,59.62705231,5954891,1.256673217,64.5476532,1.19654119,1.588471293,
49,81.22709656,21293196,2,59.6711235,5863586,1.236744642,66.10510254,1.207775593,1.405462146,
